ROSTER ,,,,,
ROSTER // EDIT,,,,,
JAMIL SHAUKAT,PROJECT NAME ,LOOP DOWNLOAD LINK,EMBED CODE ,CREDITS,
EDITOR,Ruroc - Berserker,https://www.dropbox.com/scl/fi/cbsx3bfobiet4cqry2f9i/Ruroc-Berserker.mp4?rlkey=6amx824imlvh2oed2zr32uv0n&st=o4345d8b&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/7w52-uK-KwO2eWCfwCEDjQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;","PRODUCTION:
Director: KC Locke
Executive Producer: KC Locke
Producer: Lewis Nicholson
Production Company: Swords & Eagles

APOLLO:
Editor: Jamil Shaukat",
,Look Fantastic,https://www.dropbox.com/scl/fi/xohaoe3pu2kyjrwhjsq87/Look-Fantastic.mp4?rlkey=0bgtwiegcqsfk3iyp0pvauezs&st=apy7870s&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/-q-nJk-MzyUmkAPIljAdAw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Post House: Ride The Lightning
Post Producer: Polly Ward 
Director: Paddy McGowan
DP: Miguel Cármenes

Editor: Jamil Shaukat",
,Drama Call - Heaviest in the Game,https://www.dropbox.com/scl/fi/w1hlytu2xmpjbry4835rv/Drama-Call-Heaviest-in-the-Game.mp4?rlkey=qi630pv4urfwuvkwy6rdhd3fm&st=we2j6a26&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/Z_N4ZKx8zseoxuWWEO5J9A/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Rory A Wood
Production Company: Ant farm film services
DP: James Killeen

Editor: Jamil Shaukat",
,CP Company x Manchester City,https://www.dropbox.com/scl/fi/1m1hbkuzryzd2ft9hgg5o/CP-Company-x-Manchester-City.mp4?rlkey=q5lvyi0137idjhfcas9j2abzx&st=k0p5h4tg&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:60.88207%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/OoYHiz7arVaXh-_3xR3o7g/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Rory A Wood
Producer: Fin Mulligan Wild
Agency: LAW Magazine 
Production Company: Antfarm 

Editor: Jamil Shaukat",
,Boohoo Man - World Cup,https://www.dropbox.com/scl/fi/1vwr1kzc2fgqa8am38oam/Boohoo-Man-World-Cup.mp4?rlkey=aor7cy1btasc6fmztugpny8qx&st=v0cdv8g9&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/4QqEVVuhldXN_i8Bnr1ZYw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC Locke 
Producer: Lewis Nicholson 
Production Company: Swords & Eagles
DP: Rowan Biddiscombe

Editor: Jamil Shaukat",
,Meekz - Mini Me's ,https://www.dropbox.com/scl/fi/izfs70s5gn2qy60maieml/Meekz-Mini-Me-s.mp4?rlkey=ml852te7n18q9qucelk20re6k&st=c2pkzxkh&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/rfxS53q1G8VO6asIkOW-mg/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC Locke 
Producer: Fin Mulligan Wild
Production Company: swordsandeagles
Executive Producers: KC Locke & Jenny O’Sullivan
DP: James Killeen

Editor: Jamil Shaukat",
,"Ed Sheeran - Take Me Back To London feat. Stormzy, Jaykae & Aitch",https://www.dropbox.com/scl/fi/vsam729p2nny08hft2jn8/Ed-Sheeran-Take-Me-Back-To-London-feat.-Stormzy-Jaykae-Aitch.mp4?rlkey=24wlvises3tcrufwxq1vo7j4o&st=5bhsdh2t&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/7FWkr5CFwzqaqdHiwrvlww/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC Locke 
EP: Gwil Doe
Producer: samona O Manoela Chiabai Gwil Doe
DP: Sam Meyer

Editor: JAMIL SHAUKAT",
,Aitch - Learning Curve,https://www.dropbox.com/scl/fi/jaxbm5q2lyx9ai6qwo9vf/Aitch-Learning-Curve.mp4?rlkey=2tzua6kegqw4i2e7scgwm0rke&st=781urz47&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/qhF_Zr-_wpZEXebRRPM4YA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC LOCKE 
Production Company: Swords & Eagles 
Exec Producer/Directors: Rep Marisa Garner
DOP: Pieter Synman

Editor: Jamil Shaukat
",
,M Huncho & Headie One - Warzone,https://www.dropbox.com/scl/fi/1n93evcbdsmig0c3opp6k/M-Huncho-Headie-One-Warzone.mp4?rlkey=mni4lnsrfgd4nszow2517prmy&st=hw967nfh&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/L3HZIYNTMRPdQazo9r5jIQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC Locke
Producer: Lewis Nicholson
Production Company: Swords & Eagles 
DOP: Matthew Emvin Taylor

Editor: Jamil Shaukat
",
,David Guetta x BEBE,https://www.dropbox.com/scl/fi/r3dbpvbpp1mkk79xlnhp9/David-Guetta-x-BEBE.mp4?rlkey=60g7w0erdokdi8pj6121m5eg4&st=xeiuofhy&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/e_xK1H4Fp-Y8rhQhkSCckA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: KC Locke
Production Company: Swords & Eagles
DOP: Beatriz Sastre

Editor: Jamil Shaukat",
LIAM TANGUM,,,,,
EDITOR,,https://www.dropbox.com/scl/fi/227q7vfwmp8qfiapevk6s/Oakely-Kylian-Mbappe.mp4?rlkey=9xcj1prn3kyyjpiscok0euij8&st=s7478vvn&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/l4iJTcmvUc9kqSQ3mcktIA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Creative and Production : Stept Studios
Producer: Alexa Hinson
Director: Joaquim Bayle
DP: Angelo Marques

Editor: LIAM TANGUM",
